SW_MATCHED,SW_ELAPSED,HW_MATCHED,HW_ELAPSED
300,128,0.000528,128,0.014872
300,128,0.000524,128,0.014868
300,128,0.000520,128,0.014875
300,128,0.000519,128,0.014874
300,128,0.000520,128,0.014881
300,128,0.000519,128,0.014870
300,128,0.000516,128,0.014861
300,128,0.000532,128,0.014849
300,128,0.000522,128,0.014875
300,128,0.000522,128,0.014852
300,128,0.000518,128,0.014874
300,128,0.000523,128,0.014874
300,128,0.000525,128,0.014883
300,128,0.000522,128,0.014866
300,128,0.000524,128,0.014896
300,128,0.000539,128,0.014875
300,128,0.000522,128,0.014887
300,128,0.000524,128,0.014867
300,128,0.000516,128,0.014875
300,128,0.000514,128,0.014866
300,128,0.000528,128,0.014880
300,128,0.000534,128,0.013493
300,128,0.000521,128,0.014892
300,128,0.000513,128,0.014875
300,128,0.000519,128,0.014874
300,128,0.000526,128,0.014875
300,128,0.000530,128,0.014875
300,128,0.000529,128,0.014850
300,128,0.000516,128,0.014887
300,128,0.000520,128,0.014793
300,128,0.000519,128,0.014874
300,128,0.000528,128,0.014874
300,128,0.000516,128,0.014894
300,128,0.000516,128,0.014881
300,128,0.000519,128,0.014859
300,128,0.000531,128,0.014786
300,128,0.000532,128,0.014868
300,128,0.000525,128,0.014875
300,128,0.000526,128,0.014882
300,128,0.000532,128,0.014874
300,128,0.000523,128,0.014875
300,128,0.000517,128,0.014887
300,128,0.000518,128,0.014869
300,128,0.000523,128,0.014874
300,128,0.000520,128,0.014874
300,128,0.000522,128,0.014887
300,128,0.000520,128,0.014881
300,128,0.000519,128,0.014851
300,128,0.000528,128,0.014875
300,128,0.000529,128,0.014883
300,128,0.000523,128,0.014853
300,128,0.000530,128,0.014863
300,128,0.000544,128,0.014859
300,128,0.000523,128,0.014873
300,128,0.000524,128,0.014868
300,128,0.000519,128,0.014875
300,128,0.000526,128,0.014867
300,128,0.000523,128,0.014864
300,128,0.000516,128,0.014881
300,128,0.000527,128,0.014875
300,128,0.000526,128,0.014875
300,128,0.000517,128,0.014881
300,128,0.000529,128,0.014887
300,128,0.000513,128,0.014887
300,128,0.000517,128,0.014874
300,128,0.000531,128,0.014874
300,128,0.000516,128,0.014892
300,128,0.000525,128,0.014883
300,128,0.000520,128,0.014887
