DB_SIZE,SW_MATCHED,SW_ELAPSED,SW_MATCH_TIME,HW_MATCHED,HW_ELAPSED,HW_MATCH_TIME
500,128,0.001747,0.000002,128,0.024824,0.000044
500,128,0.001732,0.000002,128,0.024827,0.000044
500,128,0.001678,0.000002,128,0.024824,0.000044
500,128,0.001748,0.000002,128,0.024823,0.000044
500,128,0.001695,0.000002,128,0.024823,0.000044
500,128,0.001759,0.000002,128,0.024813,0.000044
500,128,0.001688,0.000002,128,0.024812,0.000044
500,128,0.001739,0.000002,128,0.024801,0.000044
500,128,0.001736,0.000002,128,0.024825,0.000044
500,128,0.001720,0.000002,128,0.024772,0.000044
500,128,0.001714,0.000002,128,0.024833,0.000044
500,128,0.001758,0.000002,128,0.024823,0.000044
500,128,0.001727,0.000002,128,0.024792,0.000044
500,128,0.001694,0.000002,128,0.024824,0.000044
500,128,0.001756,0.000002,128,0.024814,0.000044
500,128,0.001746,0.000002,128,0.024801,0.000044
500,128,0.001721,0.000002,128,0.024818,0.000044
500,128,0.001709,0.000002,128,0.024828,0.000044
500,128,0.001749,0.000002,128,0.024719,0.000044
500,128,0.001717,0.000002,128,0.024835,0.000044
500,128,0.001745,0.000002,128,0.024818,0.000044
500,128,0.001733,0.000002,128,0.024824,0.000044
500,128,0.001720,0.000002,128,0.024833,0.000044
500,128,0.001745,0.000002,128,0.024806,0.000044
500,128,0.001717,0.000002,128,0.024702,0.000044
500,128,0.001751,0.000002,128,0.024824,0.000044
500,128,0.001720,0.000002,128,0.024804,0.000044
500,128,0.001682,0.000002,128,0.024832,0.000044
500,128,0.001749,0.000002,128,0.024824,0.000044
500,128,0.001695,0.000002,128,0.024817,0.000044
500,128,0.001708,0.000002,128,0.024824,0.000044
500,128,0.001758,0.000002,128,0.024822,0.000044
500,128,0.001695,0.000002,128,0.024808,0.000044
500,128,0.001731,0.000002,128,0.024817,0.000044
500,128,0.001708,0.000002,128,0.024825,0.000044
500,128,0.001753,0.000002,128,0.024818,0.000044
500,128,0.001736,0.000002,128,0.024822,0.000044
500,128,0.001725,0.000002,128,0.024817,0.000044
