ITERATIONS,DB_SIZE,SW_ELAPSED,HW_ELAPSED
50,800,0.001405,0.000566
50,800,0.001415,0.000573
50,800,0.001379,0.000571
50,800,0.001386,0.000567
50,800,0.001378,0.000567
50,800,0.001391,0.000565
50,800,0.001379,0.000566
50,800,0.001389,0.000567
50,800,0.001397,0.000568
50,800,0.001386,0.000566
50,800,0.001378,0.000565
50,800,0.001387,0.000565
50,800,0.001378,0.000566
50,800,0.001394,0.000566
50,800,0.001378,0.000567
50,800,0.001387,0.000566
50,800,0.001378,0.000566
50,800,0.001392,0.000566
50,800,0.001379,0.000567
50,800,0.001387,0.000566
50,800,0.001379,0.000566
50,800,0.001391,0.000566
50,800,0.001377,0.000566
50,800,0.001378,0.000565
50,800,0.001378,0.000574
50,800,0.001378,0.000565
50,800,0.001379,0.000567
50,800,0.001378,0.000567
50,800,0.001378,0.000567
50,800,0.001378,0.000567
50,800,0.001377,0.000567
50,800,0.001378,0.000566
50,800,0.001401,0.000567
50,800,0.001377,0.000570
50,800,0.001376,0.000568
50,800,0.001378,0.000567
50,800,0.001378,0.000568
50,800,0.001376,0.000567
50,800,0.001385,0.000567
50,800,0.001379,0.000567
50,800,0.001392,0.000565
50,800,0.001377,0.000566
50,800,0.001389,0.000565
50,800,0.001378,0.000567
50,800,0.001393,0.000564
50,800,0.001378,0.000567
50,800,0.001390,0.000566
50,800,0.001379,0.000567
50,800,0.001391,0.000566
50,800,0.001378,0.000567
50,1600,0.002821,0.001027
50,1600,0.002773,0.001035
50,1600,0.002805,0.001030
50,1600,0.002774,0.001029
50,1600,0.002777,0.001028
50,1600,0.002772,0.001029
50,1600,0.002774,0.001028
50,1600,0.002772,0.001029
50,1600,0.002777,0.001029
50,1600,0.002786,0.001028
50,1600,0.002787,0.001028
50,1600,0.002786,0.001027
50,1600,0.002789,0.001028
50,1600,0.002782,0.001028
50,1600,0.002784,0.001028
50,1600,0.002767,0.001028
50,1600,0.002811,0.001028
50,1600,0.002801,0.001027
50,1600,0.002777,0.001038
