ITERATIONS,DB_SIZE,SW_ELAPSED,HW_ELAPSED
50,300,0.000542,0.000912
50,300,0.000531,0.000918
50,300,0.000531,0.000914
50,300,0.000532,0.000914
50,300,0.000532,0.000913
50,300,0.000531,0.000921
50,300,0.000539,0.000912
50,300,0.000532,0.000913
50,300,0.000531,0.000913
50,300,0.000532,0.000912
50,300,0.000532,0.000912
50,300,0.000557,0.000913
50,300,0.000532,0.000915
50,300,0.000532,0.000913
50,300,0.000531,0.000912
50,300,0.000532,0.000911
50,300,0.000531,0.000912
50,300,0.000531,0.000913
50,300,0.000532,0.000913
50,300,0.000531,0.000916
50,300,0.000532,0.000912
50,300,0.000531,0.000914
50,300,0.000532,0.000913
50,300,0.000532,0.000913
50,300,0.000532,0.000913
50,300,0.000557,0.000913
50,300,0.000532,0.000915
50,300,0.000532,0.000913
50,300,0.000531,0.000913
50,300,0.000531,0.000912
50,300,0.000532,0.000913
50,300,0.000531,0.000913
50,300,0.000546,0.000914
50,300,0.000529,0.000915
50,300,0.000531,0.000912
50,300,0.000530,0.000912
50,300,0.000532,0.000912
50,300,0.000532,0.000913
50,300,0.000532,0.000912
50,300,0.000557,0.000913
50,300,0.000529,0.000915
50,300,0.000529,0.000912
50,300,0.000529,0.000910
50,300,0.000536,0.000911
50,300,0.000529,0.000912
50,300,0.000530,0.000915
50,300,0.000555,0.000912
50,300,0.000530,0.000914
50,300,0.000529,0.000912
50,300,0.000529,0.000912
50,600,0.001055,0.001689
50,600,0.001047,0.001697
50,600,0.001044,0.001694
50,600,0.001043,0.001692
50,600,0.001043,0.001652
50,600,0.001072,0.001700
50,600,0.001051,0.001694
50,600,0.001043,0.001694
50,600,0.001043,0.001693
50,600,0.001043,0.001690
50,600,0.001042,0.001691
50,600,0.001043,0.001663
50,600,0.001043,0.001693
50,600,0.001042,0.001662
50,600,0.001044,0.001692
50,600,0.001049,0.001650
50,600,0.001069,0.001693
50,600,0.001049,0.001692
50,600,0.001050,0.001692
50,600,0.001048,0.001695
50,600,0.001048,0.001693
50,600,0.001048,0.001691
50,600,0.001048,0.001692
50,600,0.001048,0.001692
50,600,0.001048,0.001585
50,600,0.001047,0.001693
50,600,0.001073,0.001699
50,600,0.001057,0.001693
50,600,0.001048,0.001693
50,600,0.001048,0.001693
50,600,0.001049,0.001691
50,600,0.001047,0.001692
50,600,0.001049,0.001651
50,600,0.001049,0.001693
50,600,0.001047,0.001680
50,600,0.001048,0.001692
50,600,0.001055,0.001627
50,600,0.001074,0.001692
50,600,0.001054,0.001693
