Time,Bytes
1.23897504807,159890
2.9253180027,159894
9.83794283867,159898
11.2597601414,159902
10.0514860153,159906
9.70946717262,159910
9.58688998222,159914
9.92913985252,159918
10.2634809017,159922
9.79952096939,159926
10.0409290791,159930
9.70561099052,159933
9.57725811005,159936
9.70526719093,159939
9.83635616302,159942
9.69294309616,159945
9.79051303864,159948
10.0326228142,159951
9.58051395416,159954
9.60469913483,159957
9.7577559948,159960
10.1306970119,159963
9.70313096046,159966
9.89679598808,159969
10.5310471058,159972
9.7110478878,159975
9.83912396431,159978
10.3923449516,159981
9.81755208969,159984
9.70627903938,159987
9.58215498924,159990
9.86425709724,159993
9.81577801704,159996
9.69940590858,159999
9.70390701294,160002
9.7737839222,160005
9.73311209679,160008
8.12341499329,160011
1.26625704765,160014
1.27415108681,160017
1.35818696022,160020
1.30411601067,160023
1.25028300285,160026
1.25844311714,160029
1.25069308281,160032
1.2542579174,160035
1.27612304688,160038
1.39978790283,160041
1.35983181,160044
1.26355004311,160047
1.26043987274,160050
1.53262495995,160053
1.29689693451,160056
1.25306797028,160059
1.28726601601,160062
1.25450801849,160065
1.27324604988,160068
1.24904203415,160071
1.30160093307,160074
1.29625606537,160077
1.60842394829,160080
1.60336399078,160083
1.29576182365,160086
1.36916399002,160089
1.25724601746,160092
1.26424002647,160095
1.27178502083,160098
1.33161401749,160101
1.27010703087,160104
1.41041588783,160107
1.25175786018,160110
1.32708191872,160113
1.26441502571,160116
3.14784097672,160119
1.48405408859,160122
1.25963592529,160125
1.26031589508,160128
1.27088904381,160131
1.27285504341,160134
1.37611913681,160137
1.38330507278,160140
1.28687095642,160143
1.33545613289,160146
1.54326891899,160149
1.27074599266,160152
1.32949709892,160155
1.31112599373,160158
1.3916079998,160161
1.27194809914,160164
1.27798914909,160167
1.26201486588,160170
1.27296495438,160173
1.27364706993,160176
1.42123413086,160179
1.38542985916,160182
1.27438688278,160185
1.43710803986,160188
1.2704179287,160191
1.28179502487,160194
1.62653517723,160197
