DATA_SIZE,MICROBLAZE_TIME,REFERENCE_TIME
4096,0.012542,0.000530
4096,0.010261,0.000532
4096,0.010260,0.000525
4096,0.010260,0.000524
4096,0.010261,0.000530
4096,0.010260,0.000525
4096,0.010255,0.000526
4096,0.010264,0.000577
4096,0.010193,0.000525
4096,0.010261,0.000525
4096,0.010260,0.000525
4096,0.010260,0.000530
4096,0.010260,0.000525
4096,0.010260,0.000525
4096,0.010260,0.000525
4096,0.010255,0.000530
4096,0.010255,0.000525
4096,0.010260,0.000526
4096,0.010261,0.000525
4096,0.010253,0.000526
4096,0.010260,0.000525
4096,0.010260,0.000530
4096,0.010260,0.000525
4096,0.010260,0.000525
4096,0.010256,0.000525
8192,0.020202,0.001029
8192,0.020202,0.001029
8192,0.020202,0.001035
8192,0.020201,0.001030
8192,0.020198,0.001029
8192,0.020201,0.001035
8192,0.020202,0.001029
8192,0.020202,0.001029
8192,0.020202,0.001029
8192,0.020197,0.001030
8192,0.020202,0.001029
8192,0.020201,0.001030
8192,0.020202,0.001035
8192,0.020196,0.001029
8192,0.020202,0.001029
8192,0.020201,0.001035
8192,0.020202,0.001029
8192,0.020201,0.001029
8192,0.020197,0.001036
8192,0.020202,0.001030
8192,0.020203,0.001029
8192,0.020202,0.001035
8192,0.020202,0.001029
8192,0.020197,0.001029
8192,0.020202,0.001031
12288,0.030142,0.001534
12288,0.030142,0.001534
12288,0.030138,0.001534
12288,0.030143,0.001534
12288,0.030142,0.001533
12288,0.030138,0.001534
12288,0.030142,0.001534
12288,0.030142,0.001539
12288,0.030139,0.001545
12288,0.030143,0.001539
12288,0.030143,0.001539
12288,0.030138,0.001541
12288,0.030143,0.001534
12288,0.030142,0.001534
12288,0.030138,0.001534
12288,0.030091,0.001534
12288,0.030143,0.001534
12288,0.030138,0.001534
12288,0.030142,0.001534
12288,0.030143,0.001533
12288,0.030143,0.001541
12288,0.030143,0.001539
12288,0.030144,0.001539
12288,0.030141,0.001539
12288,0.030138,0.001540
16384,0.040083,0.002039
16384,0.040080,0.002045
16384,0.040085,0.002038
16384,0.040084,0.002043
16384,0.040079,0.002038
16384,0.040083,0.002044
16384,0.040080,0.002038
16384,0.040021,0.002047
16384,0.040083,0.002038
16384,0.040084,0.002043
