Time,Bytes
4.46158385277,249890
4.4175620079,249894
4.41748404503,249898
4.42103600502,249902
4.4306139946,249906
4.42930603027,249910
4.43672704697,249914
4.41958093643,249918
4.41745901108,249922
4.42916893959,249926
4.42372107506,249930
4.42948698997,249933
4.42985105515,249936
4.42461013794,249939
4.42855191231,249942
4.428606987,249945
4.43601894379,249948
4.44037008286,249951
4.43643593788,249954
4.43203806877,249957
4.44345211983,249960
4.43639206886,249963
4.43864798546,249966
4.4387960434,249969
4.43382716179,249972
4.44415402412,249975
4.43750691414,249978
4.61684584618,249981
4.44410395622,249984
4.44740104675,249987
4.43647122383,249990
4.43900823593,249993
4.44761705399,249996
4.45098996162,249999
4.44728279114,250002
4.4515349865,250005
4.446570158,250008
4.4532020092,250011
4.47639489174,250014
4.4532558918,250017
4.46181797981,250020
4.45327997208,250023
4.45282411575,250026
4.45683503151,250029
4.86000490189,250032
4.4606320858,250035
4.4631690979,250038
4.45957803726,250041
4.45917892456,250044
4.46047997475,250047
4.46339511871,250050
4.45428919792,250053
4.4656560421,250056
4.46547412872,250059
4.46515798569,250062
4.47771906853,250065
4.47021079063,250068
4.46584892273,250071
4.471326828,250074
4.46716690063,250077
4.47564506531,250080
4.48353600502,250083
4.48476314545,250086
4.48724293709,250089
4.47948789597,250092
4.48368382454,250095
4.49679803848,250098
4.48672294617,250101
4.47523903847,250104
4.47669482231,250107
4.48241209984,250110
4.47210383415,250113
4.47820210457,250116
4.48812294006,250119
4.47117185593,250122
4.47767305374,250125
4.473279953,250128
4.47994804382,250131
4.48766589165,250134
4.47696805,250137
4.47863912582,250140
4.55985307693,250143
4.47929191589,250146
4.49328398705,250149
4.49006795883,250152
4.48783993721,250155
4.48290300369,250158
4.48152899742,250161
4.50357198715,250164
4.48225784302,250167
4.48802709579,250170
4.48497390747,250173
4.49054408073,250176
4.49045395851,250179
4.49962091446,250182
4.49090003967,250185
4.48467612267,250188
4.51018190384,250191
4.49305701256,250194
4.48928809166,250197
