ICAP_ELAPSED,FILE_SIZE
68.730298,12125024
68.442445,12125024
67.744896,12125024
68.368674,12125024
67.417947,12125024
68.800676,12125024
68.751393,12125024
68.844906,12125024
69.041127,12125024
67.862518,12125024
68.630800,12125024
68.501816,12125024
68.332999,12125024
67.394849,12125024
68.692803,12125024
67.607729,12125024
67.802632,12125024
68.656898,12125024
67.744061,12125024
67.743679,12125024
68.745004,12125024
68.412948,12125024
68.605392,12125024
67.838435,12125024
67.656314,12125024
67.751006,12125024
68.758846,12125024
68.570498,12125024
68.820955,12125024
68.537889,12125024
69.041651,12125024
68.884939,12125024
68.957931,12125024
68.471642,12125024
68.607212,12125024
68.639899,12125024
67.999902,12125024
68.569551,12125024
67.533060,12125024
68.701682,12125024
69.112831,12125024
68.805014,12125024
68.281836,12125024
68.854849,12125024
67.669346,12125024
67.600002,12125024
68.513976,12125024
68.239787,12125024
68.354953,12125024
68.389321,12125024
67.379698,12125024
67.784459,12125024
68.466341,12125024
67.729716,12125024
67.496406,12125024
67.719933,12125024
68.102105,12125024
68.626255,12125024
67.791045,12125024
67.423989,12125024
68.282758,12125024
69.559746,12125024
68.077632,12125024
67.949628,12125024
68.767983,12125024
68.443373,12125024
68.974098,12125024
67.973056,12125024
68.523958,12125024
67.922722,12125024
67.524453,12125024
67.996998,12125024
67.808964,12125024
67.899013,12125024
68.592669,12125024
67.565325,12125024
68.414199,12125024
67.965965,12125024
68.757159,12125024
67.741268,12125024
68.840776,12125024
68.491908,12125024
67.792658,12125024
68.409196,12125024
68.745491,12125024
68.785686,12125024
68.551072,12125024
67.641919,12125024
67.999072,12125024
68.789657,12125024
67.858011,12125024
67.449381,12125024
68.295502,12125024
68.372532,12125024
67.612633,12125024
67.527534,12125024
68.357043,12125024
68.675356,12125024
68.552619,12125024
67.724141,12125024
69.013208,12125024
68.074574,12125024
67.675991,12125024
67.816893,12125024
67.866476,12125024
67.804514,12125024
67.914449,12125024
68.747478,12125024
68.204253,12125024
68.831449,12125024
67.607692,12125024
68.078189,12125024
68.379146,12125024
68.636010,12125024
67.526488,12125024
68.052247,12125024
68.648963,12125024
68.506664,12125024
67.579521,12125024
67.406037,12125024
68.582695,12125024
67.846554,12125024
68.132184,12125024
67.895944,12125024
68.469052,12125024
68.783046,12125024
68.606391,12125024
68.710462,12125024
68.411721,12125024
68.088124,12125024
67.370586,12125024
68.145218,12125024
68.892614,12125024
68.076452,12125024
68.305870,12125024
68.535970,12125024
68.748003,12125024
68.764601,12125024
68.696961,12125024
67.423794,12125024
67.664861,12125024
68.526769,12125024
68.415822,12125024
67.654242,12125024
69.176543,12125024
68.667425,12125024
68.745229,12125024
67.837680,12125024
68.849744,12125024
69.065293,12125024
67.815193,12125024
67.914936,12125024
68.700063,12125024
68.345587,12125024
68.555813,12125024
68.832038,12125024
68.633121,12125024
69.166005,12125024
68.618440,12125024
67.903751,12125024
67.718385,12125024
68.781786,12125024
68.573326,12125024
67.763825,12125024
68.035739,12125024
68.441450,12125024
69.072402,12125024
68.505255,12125024
67.514977,12125024
68.119818,12125024
68.403741,12125024
68.575554,12125024
68.673632,12125024
68.630106,12125024
67.943772,12125024
67.684821,12125024
67.693440,12125024
67.970999,12125024
67.696485,12125024
67.918057,12125024
68.621448,12125024
68.179074,12125024
68.019548,12125024
69.094304,12125024
68.795931,12125024
67.821396,12125024
67.761927,12125024
69.010656,12125024
68.587429,12125024
68.011918,12125024
68.749752,12125024
68.538302,12125024
68.860235,12125024
68.823195,12125024
68.088183,12125024
68.404270,12125024
68.100671,12125024
68.181569,12125024
68.277709,12125024
67.951892,12125024
